year,quarter,nhs_health_board,location,admission_type,episodes,length_of_episode,average_length_of_episode,stays,length_of_stay,average_length_of_stay,pre_post_covid
2018,3,Highland,C121H,Emergency Inpatients,558,2396,4.29390681,550,3868,7.032727273,pre
2018,4,Highland,C121H,Emergency Inpatients,482,3502,7.265560166,484,4482,9.260330579,pre
2019,1,Highland,C121H,Emergency Inpatients,486,3030,6.234567901,478,3768,7.882845188,pre
2019,2,Highland,C121H,Emergency Inpatients,477,2854,5.983228512,478,3972,8.309623431,pre
2019,3,Highland,C121H,Emergency Inpatients,497,3050,6.136820926,485,3968,8.181443299,pre
2019,4,Highland,C121H,Emergency Inpatients,498,2476,4.97188755,498,3223,6.47188755,pre
2020,1,Highland,C121H,Emergency Inpatients,478,3165,6.621338912,478,4678,9.786610879,post
2020,2,Highland,C121H,Emergency Inpatients,365,1465,4.01369863,356,2130,5.983146067,post
2020,3,Highland,C121H,Emergency Inpatients,456,1772,3.885964912,452,2578,5.703539823,post
2020,4,Highland,C121H,Emergency Inpatients,490,2273,4.63877551,481,3136,6.51975052,post
2021,1,Highland,C121H,Emergency Inpatients,444,2013,4.533783784,448,3063,6.837053571,post
2021,2,Highland,C121H,Emergency Inpatients,502,2008,4,495,3325,6.717171717,post
2021,3,Highland,C121H,Emergency Inpatients,538,2847,5.291821561,530,3652,6.890566038,post
2021,4,Highland,C121H,Emergency Inpatients,494,2467,4.993927126,492,3671,7.461382114,post
2022,1,Highland,C121H,Emergency Inpatients,491,2421,4.930753564,476,3191,6.703781513,post
2022,2,Highland,C121H,Emergency Inpatients,556,2348,4.223021583,555,3741,6.740540541,post
2022,3,Highland,C121H,Emergency Inpatients,532,2891,5.434210526,524,4029,7.688931298,post
2017,3,Highland,S08000022,Emergency Inpatients,5418,11790,2.176079734,5393,39849,7.389022807,pre
2017,4,Highland,S08000022,Emergency Inpatients,5081,10902,2.145640622,5126,42639,8.318181818,pre
2018,1,Highland,S08000022,Emergency Inpatients,5264,12724,2.417173252,5333,45960,8.618038627,pre
2018,2,Highland,S08000022,Emergency Inpatients,5512,11182,2.028664731,5489,41972,7.646565859,pre
2018,3,Highland,S08000022,Emergency Inpatients,5560,11142,2.003956835,5602,41834,7.467690111,pre
2018,4,Highland,S08000022,Emergency Inpatients,5278,12568,2.381205002,5378,43085,8.011342507,pre
2019,1,Highland,S08000022,Emergency Inpatients,5015,12049,2.402592223,5128,43246,8.433307332,pre
2019,2,Highland,S08000022,Emergency Inpatients,5160,12142,2.353100775,5343,44592,8.345873105,pre
2019,3,Highland,S08000022,Emergency Inpatients,5343,12342,2.309938237,5433,43602,8.025400331,pre
2019,4,Highland,S08000022,Emergency Inpatients,5210,11571,2.220921305,5327,45789,8.595644828,pre
2020,1,Highland,S08000022,Emergency Inpatients,4667,12342,2.644525391,4922,49262,10.00853312,post
2020,2,Highland,S08000022,Emergency Inpatients,4150,7440,1.792771084,4106,35886,8.73989284,post
2020,3,Highland,S08000022,Emergency Inpatients,5128,9140,1.782371295,5190,38289,7.377456647,post
2020,4,Highland,S08000022,Emergency Inpatients,4969,10599,2.133024753,4977,39650,7.966646574,post
2021,1,Highland,S08000022,Emergency Inpatients,4732,10768,2.275570583,4753,43106,9.06921944,post
2021,2,Highland,S08000022,Emergency Inpatients,4991,9694,1.942296133,5022,42044,8.371963361,post
2021,3,Highland,S08000022,Emergency Inpatients,5206,12420,2.385708798,5299,43372,8.184940555,post
2021,4,Highland,S08000022,Emergency Inpatients,4831,12784,2.646243014,4970,46053,9.266197183,post
2022,1,Highland,S08000022,Emergency Inpatients,4596,12820,2.789382071,4634,42692,9.21277514,post
2022,2,Highland,S08000022,Emergency Inpatients,4700,11957,2.544042553,4809,49921,10.38074444,post
2022,3,Highland,S08000022,Emergency Inpatients,4525,10904,2.409723757,4634,43743,9.439577039,post
2017,3,Highland,H202H,Emergency Inpatients,3787,7569,1.998679694,3752,30700,8.182302772,pre
2017,4,Highland,H202H,Emergency Inpatients,3555,6446,1.813220816,3588,32967,9.18812709,pre
2018,1,Highland,H202H,Emergency Inpatients,3694,6923,1.874120195,3762,34299,9.11722488,pre
2018,2,Highland,H202H,Emergency Inpatients,3829,6493,1.695743014,3819,32813,8.592039801,pre
2018,3,Highland,H202H,Emergency Inpatients,3922,6877,1.753442121,3957,30618,7.737680061,pre
2018,4,Highland,H202H,Emergency Inpatients,3764,7253,1.926939426,3839,32598,8.491273769,pre
2019,1,Highland,H202H,Emergency Inpatients,3592,6757,1.881124722,3731,33391,8.949611364,pre
2019,2,Highland,H202H,Emergency Inpatients,3706,6964,1.879114949,3868,33118,8.56204757,pre
2019,3,Highland,H202H,Emergency Inpatients,3768,7058,1.873142251,3872,32408,8.369834711,pre
2019,4,Highland,H202H,Emergency Inpatients,3763,7031,1.868456019,3882,35292,9.091190108,pre
2020,1,Highland,H202H,Emergency Inpatients,3349,6722,2.007166318,3566,35894,10.06561974,post
2020,2,Highland,H202H,Emergency Inpatients,3124,3986,1.275928297,3078,27081,8.798245614,post
2020,3,Highland,H202H,Emergency Inpatients,3844,5335,1.387877211,3844,29104,7.571279917,post
2020,4,Highland,H202H,Emergency Inpatients,3720,5845,1.571236559,3709,29573,7.973308169,post
2021,1,Highland,H202H,Emergency Inpatients,3593,6436,1.791260785,3570,31950,8.949579832,post
2021,2,Highland,H202H,Emergency Inpatients,3637,5469,1.50371185,3665,30863,8.42100955,post
2021,3,Highland,H202H,Emergency Inpatients,3785,6746,1.782298547,3867,32048,8.287561417,post
2021,4,Highland,H202H,Emergency Inpatients,3565,7980,2.238429173,3702,33878,9.151269584,post
2022,1,Highland,H202H,Emergency Inpatients,3413,7768,2.276003516,3451,32036,9.283106346,post
2022,2,Highland,H202H,Emergency Inpatients,3465,7084,2.044444444,3549,37189,10.4787264,post
2022,3,Highland,H202H,Emergency Inpatients,3278,5823,1.776388041,3373,33243,9.855618144,post
2017,3,Lanarkshire,S08000032,Emergency Inpatients,16823,32094,1.907745349,16466,92438,5.613871007,pre
2017,4,Lanarkshire,S08000032,Emergency Inpatients,17139,33814,1.972927242,16775,95091,5.668614009,pre
2018,1,Lanarkshire,S08000032,Emergency Inpatients,17386,32157,1.849591625,17086,98063,5.739377268,pre
2018,2,Lanarkshire,S08000032,Emergency Inpatients,16839,28922,1.717560425,16638,94749,5.694734944,pre
2018,3,Lanarkshire,S08000032,Emergency Inpatients,16917,30426,1.798545841,16553,90796,5.485168852,pre
2018,4,Lanarkshire,S08000032,Emergency Inpatients,17566,31674,1.803142434,17186,96755,5.629873153,pre
2019,1,Lanarkshire,S08000032,Emergency Inpatients,18261,29547,1.618038443,17993,97550,5.421552826,pre
2019,2,Lanarkshire,S08000032,Emergency Inpatients,17964,29233,1.627310176,17688,93510,5.286635007,pre
2019,3,Lanarkshire,S08000032,Emergency Inpatients,18118,30486,1.682636053,17767,99013,5.572859796,pre
2019,4,Lanarkshire,S08000032,Emergency Inpatients,18178,31351,1.72466718,17816,102207,5.736809609,pre
2020,1,Lanarkshire,S08000032,Emergency Inpatients,16292,28414,1.744046158,16337,104784,6.413907082,post
2020,2,Lanarkshire,S08000032,Emergency Inpatients,13233,19900,1.503816217,12825,65627,5.11711501,post
2020,3,Lanarkshire,S08000032,Emergency Inpatients,15910,27192,1.709113765,15650,84188,5.37942492,post
2020,4,Lanarkshire,S08000032,Emergency Inpatients,14731,30262,2.054307243,14580,91476,6.274074074,post
2021,1,Lanarkshire,S08000032,Emergency Inpatients,15058,34650,2.301102404,14780,96155,6.505751015,post
2021,2,Lanarkshire,S08000032,Emergency Inpatients,17161,31717,1.848202319,16933,95651,5.648792299,post
2021,3,Lanarkshire,S08000032,Emergency Inpatients,16707,28078,1.680612917,16535,99404,6.011732688,post
2021,4,Lanarkshire,S08000032,Emergency Inpatients,15815,27621,1.746506481,15727,105768,6.725249571,post
2022,1,Lanarkshire,S08000032,Emergency Inpatients,15291,29101,1.903145641,15108,102573,6.789316918,post
2022,2,Lanarkshire,S08000032,Emergency Inpatients,15743,28881,1.834529632,15617,107975,6.913939937,post
2022,3,Lanarkshire,S08000032,Emergency Inpatients,15334,29081,1.8965045,15331,103784,6.769551888,post
2017,3,Lanarkshire,L302H,Emergency Inpatients,5275,14242,2.699905213,5239,32515,6.206337087,pre
2017,4,Lanarkshire,L302H,Emergency Inpatients,5315,15006,2.823330198,5251,33624,6.403351743,pre
2018,1,Lanarkshire,L302H,Emergency Inpatients,5566,12565,2.257455983,5490,33710,6.140255009,pre
2018,2,Lanarkshire,L302H,Emergency Inpatients,5485,11300,2.060164084,5458,33489,6.135764016,pre
2018,3,Lanarkshire,L302H,Emergency Inpatients,5431,12018,2.212852145,5363,31786,5.926906582,pre
2018,4,Lanarkshire,L302H,Emergency Inpatients,5554,12475,2.246128916,5453,33643,6.169631396,pre
2019,1,Lanarkshire,L302H,Emergency Inpatients,5641,11794,2.090764049,5616,34459,6.135861823,pre
2019,2,Lanarkshire,L302H,Emergency Inpatients,5413,10829,2.000554221,5349,30995,5.794541036,pre
2019,3,Lanarkshire,L302H,Emergency Inpatients,5242,11930,2.275848913,5201,33532,6.447221688,pre
2019,4,Lanarkshire,L302H,Emergency Inpatients,5187,11910,2.296124928,5066,35017,6.912159495,pre
2020,1,Lanarkshire,L302H,Emergency Inpatients,4583,10946,2.388391883,4613,36205,7.84847171,post
2020,2,Lanarkshire,L302H,Emergency Inpatients,2928,4732,1.616120219,2831,18736,6.618156129,post
2020,3,Lanarkshire,L302H,Emergency Inpatients,4318,7774,1.800370542,4230,25158,5.94751773,post
2020,4,Lanarkshire,L302H,Emergency Inpatients,4220,8903,2.10971564,4162,29352,7.052378664,post
2021,1,Lanarkshire,L302H,Emergency Inpatients,4272,8744,2.046816479,4196,29903,7.126549094,post
2021,2,Lanarkshire,L302H,Emergency Inpatients,4680,9040,1.931623932,4632,29279,6.321027634,post
2021,3,Lanarkshire,L302H,Emergency Inpatients,4470,9380,2.098434004,4422,31380,7.096336499,post
2021,4,Lanarkshire,L302H,Emergency Inpatients,4452,9355,2.101302785,4411,33829,7.669236001,post
2022,1,Lanarkshire,L302H,Emergency Inpatients,4289,8627,2.011424574,4221,31968,7.573560768,post
2022,2,Lanarkshire,L302H,Emergency Inpatients,4198,9275,2.209385422,4167,35531,8.526757859,post
2022,3,Lanarkshire,L302H,Emergency Inpatients,4041,9485,2.347191289,4049,32963,8.141022475,post
2017,3,Lanarkshire,L106H,Emergency Inpatients,5574,6939,1.244886975,5333,27168,5.094318395,pre
2017,4,Lanarkshire,L106H,Emergency Inpatients,5867,6578,1.121186296,5661,28506,5.035506094,pre
2018,1,Lanarkshire,L106H,Emergency Inpatients,5957,7652,1.284539198,5764,30389,5.272206801,pre
2018,2,Lanarkshire,L106H,Emergency Inpatients,5487,6715,1.223801713,5353,26823,5.010835046,pre
2018,3,Lanarkshire,L106H,Emergency Inpatients,5563,6681,1.200970699,5344,26375,4.935441617,pre
2018,4,Lanarkshire,L106H,Emergency Inpatients,5969,7106,1.190484168,5768,28931,5.015776699,pre
2019,1,Lanarkshire,L106H,Emergency Inpatients,6426,6906,1.074696545,6236,30312,4.86080821,pre
2019,2,Lanarkshire,L106H,Emergency Inpatients,6300,7097,1.126507937,6159,28193,4.57752882,pre
2019,3,Lanarkshire,L106H,Emergency Inpatients,6627,7379,1.113475177,6380,29474,4.619749216,pre
2019,4,Lanarkshire,L106H,Emergency Inpatients,6720,7913,1.177529762,6577,31485,4.787136993,pre
2020,1,Lanarkshire,L106H,Emergency Inpatients,6187,7165,1.15807338,6125,30968,5.056,post
2020,2,Lanarkshire,L106H,Emergency Inpatients,4164,5322,1.278097983,4033,19619,4.86461691,post
2020,3,Lanarkshire,L106H,Emergency Inpatients,5439,8750,1.608751609,5320,27411,5.152443609,post
2020,4,Lanarkshire,L106H,Emergency Inpatients,5418,9710,1.792174234,5351,30167,5.637637825,post
2021,1,Lanarkshire,L106H,Emergency Inpatients,5322,11331,2.129086809,5256,30583,5.818683409,post
2021,2,Lanarkshire,L106H,Emergency Inpatients,6118,10871,1.776887872,6017,29332,4.874854579,post
2021,3,Lanarkshire,L106H,Emergency Inpatients,6000,8632,1.438666667,5903,30043,5.089446044,post
2021,4,Lanarkshire,L106H,Emergency Inpatients,5537,7527,1.359400397,5522,33516,6.069540022,post
2022,1,Lanarkshire,L106H,Emergency Inpatients,5516,7767,1.408085569,5448,32355,5.938876652,post
2022,2,Lanarkshire,L106H,Emergency Inpatients,5820,7618,1.308934708,5772,33491,5.802321552,post
2022,3,Lanarkshire,L106H,Emergency Inpatients,5693,6919,1.215352187,5692,32269,5.669184821,post
2017,3,Lanarkshire,L308H,Emergency Inpatients,5974,10913,1.826749247,5894,32755,5.557346454,pre
2017,4,Lanarkshire,L308H,Emergency Inpatients,5957,12230,2.053046836,5863,32961,5.621865939,pre
2018,1,Lanarkshire,L308H,Emergency Inpatients,5863,11940,2.036500085,5832,33964,5.823731139,pre
2018,2,Lanarkshire,L308H,Emergency Inpatients,5867,10907,1.8590421,5827,34437,5.90990218,pre
2018,3,Lanarkshire,L308H,Emergency Inpatients,5923,11727,1.97990883,5846,32635,5.582449538,pre
2018,4,Lanarkshire,L308H,Emergency Inpatients,6043,12093,2.001158365,5965,34181,5.730259849,pre
2019,1,Lanarkshire,L308H,Emergency Inpatients,6194,10847,1.751210849,6141,32779,5.337730011,pre
2019,2,Lanarkshire,L308H,Emergency Inpatients,6251,11307,1.808830587,6180,34322,5.553721683,pre
2019,3,Lanarkshire,L308H,Emergency Inpatients,6249,11177,1.788606177,6186,36007,5.820724216,pre
2019,4,Lanarkshire,L308H,Emergency Inpatients,6271,11528,1.838303301,6173,35705,5.784059614,pre
2020,1,Lanarkshire,L308H,Emergency Inpatients,5522,10303,1.865809489,5599,37611,6.717449545,post
2020,2,Lanarkshire,L308H,Emergency Inpatients,6141,9846,1.603321935,5961,27272,4.575071297,post
2020,3,Lanarkshire,L308H,Emergency Inpatients,6153,10668,1.733788396,6100,31619,5.183442623,post
2020,4,Lanarkshire,L308H,Emergency Inpatients,5093,11649,2.287257019,5067,31957,6.306887705,post
2021,1,Lanarkshire,L308H,Emergency Inpatients,5464,14575,2.667459736,5328,35669,6.694632132,post
2021,2,Lanarkshire,L308H,Emergency Inpatients,6363,11806,1.855414113,6284,37040,5.894334819,post
2021,3,Lanarkshire,L308H,Emergency Inpatients,6237,10066,1.613916947,6210,37981,6.11610306,post
2021,4,Lanarkshire,L308H,Emergency Inpatients,5826,10739,1.843288706,5794,38423,6.631515361,post
2022,1,Lanarkshire,L308H,Emergency Inpatients,5486,12707,2.31625957,5439,38250,7.032542747,post
2022,2,Lanarkshire,L308H,Emergency Inpatients,5725,11988,2.093973799,5678,38953,6.860338147,post
2022,3,Lanarkshire,L308H,Emergency Inpatients,5600,12677,2.26375,5590,38552,6.896601073,post
2017,3,Lothian,S08000024,Emergency Inpatients,17800,49697,2.791966292,17360,138165,7.958813364,pre
2017,4,Lothian,S08000024,Emergency Inpatients,17977,51895,2.886744173,17400,147059,8.451666667,pre
2018,1,Lothian,S08000024,Emergency Inpatients,17657,53188,3.012289743,17241,147137,8.534133751,pre
2018,2,Lothian,S08000024,Emergency Inpatients,17206,51378,2.986051377,16779,144366,8.603969247,pre
2018,3,Lothian,S08000024,Emergency Inpatients,17467,52239,2.990725368,17009,142805,8.395849256,pre
2018,4,Lothian,S08000024,Emergency Inpatients,18503,52039,2.812462844,18010,150741,8.369850083,pre
2019,1,Lothian,S08000024,Emergency Inpatients,18133,48917,2.697678266,17755,145826,8.213235708,pre
2019,2,Lothian,S08000024,Emergency Inpatients,18877,44567,2.3609154,18450,144012,7.805528455,pre
2019,3,Lothian,S08000024,Emergency Inpatients,18923,44542,2.353855097,18486,136640,7.391539543,pre
2019,4,Lothian,S08000024,Emergency Inpatients,18288,46139,2.522911199,17866,141909,7.94296429,pre
2020,1,Lothian,S08000024,Emergency Inpatients,16543,45523,2.751798344,16436,151661,9.227366756,post
2020,2,Lothian,S08000024,Emergency Inpatients,13986,30654,2.191763192,13511,100984,7.474206202,post
2020,3,Lothian,S08000024,Emergency Inpatients,16897,37233,2.203527253,16360,112602,6.882762836,post
2020,4,Lothian,S08000024,Emergency Inpatients,15856,38956,2.456861756,15391,124794,8.108245078,post
2021,1,Lothian,S08000024,Emergency Inpatients,15995,41313,2.582869647,15636,130967,8.375991302,post
2021,2,Lothian,S08000024,Emergency Inpatients,17392,41956,2.412373505,16851,126879,7.529464127,post
2021,3,Lothian,S08000024,Emergency Inpatients,16395,42287,2.57926197,15993,129699,8.109735509,post
2021,4,Lothian,S08000024,Emergency Inpatients,15606,44861,2.874599513,15249,135588,8.891599449,post
2022,1,Lothian,S08000024,Emergency Inpatients,14649,43311,2.956584067,14249,130887,9.185697242,post
2022,2,Lothian,S08000024,Emergency Inpatients,14999,44269,2.951463431,14631,135798,9.281525528,post
2022,3,Lothian,S08000024,Emergency Inpatients,14975,47007,3.13903172,14652,140968,9.621075621,post
2017,3,Lothian,S314H,Emergency Inpatients,8985,22174,2.467890929,8746,73008,8.347587469,pre
2017,4,Lothian,S314H,Emergency Inpatients,9224,23755,2.575346921,8877,79500,8.955728287,pre
2018,1,Lothian,S314H,Emergency Inpatients,8753,22229,2.539586428,8566,78373,9.14931123,pre
2018,2,Lothian,S314H,Emergency Inpatients,8571,23018,2.685567612,8346,77273,9.258686796,pre
2018,3,Lothian,S314H,Emergency Inpatients,8683,24369,2.806518484,8457,76416,9.035828308,pre
2018,4,Lothian,S314H,Emergency Inpatients,8935,22990,2.57302742,8671,80428,9.275516088,pre
2019,1,Lothian,S314H,Emergency Inpatients,8694,20985,2.413733609,8491,78053,9.192439053,pre
2019,2,Lothian,S314H,Emergency Inpatients,9134,20733,2.269870812,8925,81214,9.099607843,pre
2019,3,Lothian,S314H,Emergency Inpatients,9104,19610,2.153998243,8883,73322,8.254193403,pre
2019,4,Lothian,S314H,Emergency Inpatients,8594,19515,2.270770305,8387,77511,9.24180279,pre
2020,1,Lothian,S314H,Emergency Inpatients,7730,19950,2.580853816,7759,82995,10.69661039,post
2020,2,Lothian,S314H,Emergency Inpatients,6918,15617,2.257444348,6668,55000,8.24835033,post
2020,3,Lothian,S314H,Emergency Inpatients,8522,19713,2.313189392,8171,62705,7.674091298,post
2020,4,Lothian,S314H,Emergency Inpatients,8017,20822,2.597230884,7653,70317,9.188161505,post
2021,1,Lothian,S314H,Emergency Inpatients,7842,22641,2.887146136,7589,75635,9.966398735,post
2021,2,Lothian,S314H,Emergency Inpatients,8507,21945,2.579640296,8154,72768,8.924208977,post
2021,3,Lothian,S314H,Emergency Inpatients,7914,22253,2.811852413,7638,74325,9.730950511,post
2021,4,Lothian,S314H,Emergency Inpatients,7151,23924,3.345546077,6898,75093,10.8861989,post
2022,1,Lothian,S314H,Emergency Inpatients,6922,23332,3.370702109,6636,72258,10.88878843,post
2022,2,Lothian,S314H,Emergency Inpatients,6960,24777,3.559913793,6702,75543,11.27170994,post
2022,3,Lothian,S314H,Emergency Inpatients,6897,26497,3.841815282,6662,79250,11.89582708,post
2017,3,Lothian,S308H,Emergency Inpatients,3294,8662,2.62962963,3264,18763,5.748468137,pre
2017,4,Lothian,S308H,Emergency Inpatients,3260,8578,2.631288344,3240,20815,6.424382716,pre
2018,1,Lothian,S308H,Emergency Inpatients,3433,8961,2.610253423,3396,20386,6.002944641,pre
2018,2,Lothian,S308H,Emergency Inpatients,3271,8398,2.567410578,3245,19075,5.878274268,pre
2018,3,Lothian,S308H,Emergency Inpatients,3369,8364,2.482635797,3329,19842,5.960348453,pre
2018,4,Lothian,S308H,Emergency Inpatients,3730,9230,2.474530831,3719,21562,5.797795106,pre
2019,1,Lothian,S308H,Emergency Inpatients,3694,8712,2.358419058,3683,20566,5.584034754,pre
2019,2,Lothian,S308H,Emergency Inpatients,3931,8267,2.10302722,3905,19606,5.020742638,pre
2019,3,Lothian,S308H,Emergency Inpatients,3848,8882,2.308212058,3802,20759,5.460021042,pre
2019,4,Lothian,S308H,Emergency Inpatients,3978,9216,2.316742081,3964,21738,5.483854692,pre
2020,1,Lothian,S308H,Emergency Inpatients,3621,9348,2.581607291,3660,23424,6.4,post
2020,2,Lothian,S308H,Emergency Inpatients,2947,4872,1.653206651,2883,13841,4.800901838,post
2020,3,Lothian,S308H,Emergency Inpatients,3573,6490,1.816400784,3521,17226,4.892360125,post
2020,4,Lothian,S308H,Emergency Inpatients,3204,6397,1.996566792,3189,17359,5.443399185,post
2021,1,Lothian,S308H,Emergency Inpatients,3546,6910,1.948674563,3505,18337,5.231669044,post
2021,2,Lothian,S308H,Emergency Inpatients,3845,6272,1.631209363,3823,17945,4.693957625,post
2021,3,Lothian,S308H,Emergency Inpatients,3742,7568,2.022447889,3679,18982,5.159554227,post
2021,4,Lothian,S308H,Emergency Inpatients,3810,7868,2.0650918640000002,3795,19987,5.266666667,post
2022,1,Lothian,S308H,Emergency Inpatients,3419,6984,2.042702545,3374,20029,5.936277416,post
2022,2,Lothian,S308H,Emergency Inpatients,3599,6219,1.727979994,3580,19696,5.501675978,post
2022,3,Lothian,S308H,Emergency Inpatients,3534,7026,1.98811545,3503,21420,6.114758778,post
2017,3,Lothian,S116H,Emergency Inpatients,4832,15941,3.299048013,4717,43531,9.228535086,pre
2017,4,Lothian,S116H,Emergency Inpatients,4882,17271,3.537689472,4720,44163,9.356567797,pre
2018,1,Lothian,S116H,Emergency Inpatients,4766,18780,3.940411246,4632,45385,9.798143351,pre
2018,2,Lothian,S116H,Emergency Inpatients,4787,17053,3.562356382,4663,44907,9.630495389,pre
2018,3,Lothian,S116H,Emergency Inpatients,4849,17076,3.521550835,4697,44595,9.494358101,pre
2018,4,Lothian,S116H,Emergency Inpatients,5210,16713,3.207869482,5053,46076,9.11854344,pre
2019,1,Lothian,S116H,Emergency Inpatients,5154,16489,3.199262709,5049,44591,8.831649832,pre
2019,2,Lothian,S116H,Emergency Inpatients,5141,13076,2.543474032,5031,41052,8.159809183,pre
2019,3,Lothian,S116H,Emergency Inpatients,5279,13670,2.589505588,5170,40021,7.741005803,pre
2019,4,Lothian,S116H,Emergency Inpatients,5176,15287,2.953438949,5026,40676,8.093115798,pre
2020,1,Lothian,S116H,Emergency Inpatients,4662,13968,2.996138996,4541,42789,9.422814358,post
2020,2,Lothian,S116H,Emergency Inpatients,3806,8376,2.200735681,3673,30391,8.27416281,post
2020,3,Lothian,S116H,Emergency Inpatients,4289,9277,2.162975052,4183,30601,7.315562993,post
2020,4,Lothian,S116H,Emergency Inpatients,4237,10160,2.397923059,4182,35055,8.382352941,post
2021,1,Lothian,S116H,Emergency Inpatients,4253,10729,2.522689866,4208,35823,8.513070342,post
2021,2,Lothian,S116H,Emergency Inpatients,4583,12422,2.710451669,4446,34561,7.773504274,post
2021,3,Lothian,S116H,Emergency Inpatients,4377,11441,2.613890793,4325,34934,8.077225434,post
2021,4,Lothian,S116H,Emergency Inpatients,4269,12034,2.818927149,4220,39380,9.331753555,post
2022,1,Lothian,S116H,Emergency Inpatients,3944,11922,3.022819473,3901,37405,9.588567034,post
2022,2,Lothian,S116H,Emergency Inpatients,4030,12202,3.027791563,3974,39341,9.899597383,post
2022,3,Lothian,S116H,Emergency Inpatients,4149,12174,2.934201012,4113,38705,9.41040603,post
2017,3,Orkney,S08000025,Emergency Inpatients,388,1231,3.172680412,384,2515,6.549479167,pre
2017,4,Orkney,S08000025,Emergency Inpatients,425,1495,3.517647059,421,3186,7.567695962,pre
2018,1,Orkney,S08000025,Emergency Inpatients,421,1427,3.389548694,417,3079,7.383693046,pre
2018,2,Orkney,S08000025,Emergency Inpatients,449,1236,2.752783964,447,2942,6.581655481,pre
2018,3,Orkney,S08000025,Emergency Inpatients,456,1340,2.938596491,464,3339,7.19612069,pre
2018,4,Orkney,S08000025,Emergency Inpatients,448,1475,3.292410714,439,2850,6.492027335,pre
2019,1,Orkney,S08000025,Emergency Inpatients,427,1570,3.676814988,422,3000,7.109004739,pre
2019,2,Orkney,S08000025,Emergency Inpatients,415,1330,3.204819277,419,3645,8.69928401,pre
2019,3,Orkney,S08000025,Emergency Inpatients,407,1450,3.562653563,411,2728,6.637469586,pre
2019,4,Orkney,S08000025,Emergency Inpatients,439,1836,4.182232346,434,2921,6.730414747,pre
2020,1,Orkney,S08000025,Emergency Inpatients,408,1762,4.318627451,410,3247,7.919512195,post
2020,2,Orkney,S08000025,Emergency Inpatients,323,1252,3.876160991,323,2623,8.120743034,post
2020,3,Orkney,S08000025,Emergency Inpatients,430,1585,3.686046512,425,2488,5.854117647,post
2020,4,Orkney,S08000025,Emergency Inpatients,442,2135,4.830316742,435,3027,6.95862069,post
2021,1,Orkney,S08000025,Emergency Inpatients,440,1496,3.4,438,2871,6.554794521,post
2021,2,Orkney,S08000025,Emergency Inpatients,467,1850,3.961456103,463,3938,8.505399568,post
2021,3,Orkney,S08000025,Emergency Inpatients,495,1713,3.460606061,490,3361,6.859183673,post
2021,4,Orkney,S08000025,Emergency Inpatients,454,2160,4.757709251,449,3415,7.605790646,post
2022,1,Orkney,S08000025,Emergency Inpatients,436,1728,3.963302752,432,3569,8.261574074,post
2022,2,Orkney,S08000025,Emergency Inpatients,435,1643,3.777011494,447,4145,9.272930649,post
2022,3,Orkney,S08000025,Emergency Inpatients,402,2033,5.05721393,397,3612,9.098236776,post
2017,3,Orkney,R103H,Emergency Inpatients,388,1231,3.172680412,384,2515,6.549479167,pre
2017,4,Orkney,R103H,Emergency Inpatients,425,1495,3.517647059,421,3186,7.567695962,pre
2018,1,Orkney,R103H,Emergency Inpatients,421,1427,3.389548694,417,3079,7.383693046,pre
2018,2,Orkney,R103H,Emergency Inpatients,449,1236,2.752783964,447,2942,6.581655481,pre
2018,3,Orkney,R103H,Emergency Inpatients,456,1340,2.938596491,464,3339,7.19612069,pre
2018,4,Orkney,R103H,Emergency Inpatients,448,1475,3.292410714,439,2850,6.492027335,pre
2019,1,Orkney,R103H,Emergency Inpatients,427,1570,3.676814988,422,3000,7.109004739,pre
2019,2,Orkney,R103H,Emergency Inpatients,415,1330,3.204819277,419,3645,8.69928401,pre
2019,3,Orkney,R103H,Emergency Inpatients,407,1450,3.562653563,411,2728,6.637469586,pre
2019,4,Orkney,R103H,Emergency Inpatients,439,1836,4.182232346,434,2921,6.730414747,pre
2020,1,Orkney,R103H,Emergency Inpatients,408,1762,4.318627451,410,3247,7.919512195,post
2020,2,Orkney,R103H,Emergency Inpatients,323,1252,3.876160991,323,2623,8.120743034,post
2020,3,Orkney,R103H,Emergency Inpatients,430,1585,3.686046512,425,2488,5.854117647,post
2020,4,Orkney,R103H,Emergency Inpatients,442,2135,4.830316742,435,3027,6.95862069,post
2021,1,Orkney,R103H,Emergency Inpatients,440,1496,3.4,438,2871,6.554794521,post
2021,2,Orkney,R103H,Emergency Inpatients,467,1850,3.961456103,463,3938,8.505399568,post
2021,3,Orkney,R103H,Emergency Inpatients,495,1713,3.460606061,490,3361,6.859183673,post
2021,4,Orkney,R103H,Emergency Inpatients,454,2160,4.757709251,449,3415,7.605790646,post
2022,1,Orkney,R103H,Emergency Inpatients,436,1728,3.963302752,432,3569,8.261574074,post
2022,2,Orkney,R103H,Emergency Inpatients,435,1643,3.777011494,447,4145,9.272930649,post
2022,3,Orkney,R103H,Emergency Inpatients,402,2033,5.05721393,397,3612,9.098236776,post
2017,3,Shetland,Z102H,Emergency Inpatients,494,1821,3.686234818,481,2608,5.422037422,pre
2017,4,Shetland,Z102H,Emergency Inpatients,503,1964,3.904572565,508,3007,5.919291339,pre
2018,1,Shetland,Z102H,Emergency Inpatients,508,1827,3.596456693,503,2476,4.922465209,pre
2018,2,Shetland,Z102H,Emergency Inpatients,492,1820,3.699186992,493,2746,5.569979716,pre
